file_name,source,student_id,cie,page,page_kind,split
s01_c1_p06.png,student_01/cie_1/page_06.png,student_01,1,6,content,train
s01_c3_p08.png,student_01/cie_3/page_08.png,student_01,3,8,content,train
s02_c1_p08.png,student_02/cie_1/page_08.png,student_02,1,8,content,train
s02_c3_p09.png,student_02/cie_3/page_09.png,student_02,3,9,content,train
s03_c1_p03.png,student_03/cie_1/page_03.png,student_03,1,3,content,test
s03_c2_p01.png,student_03/cie_2/page_01.png,student_03,2,1,cover,test
s03_c3_p06.png,student_03/cie_3/page_06.png,student_03,3,6,content,test
s04_c1_p08.png,student_04/cie_1/page_08.png,student_04,1,8,content,val
s04_c2_p01.png,student_04/cie_2/page_01.png,student_04,2,1,cover,val
s04_c3_p08.png,student_04/cie_3/page_08.png,student_04,3,8,content,val
s05_c1_p02.png,student_05/cie_1/page_02.png,student_05,1,2,content,train
s05_c3_p02.png,student_05/cie_3/page_02.png,student_05,3,2,content,train
s06_c1_p06.png,student_06/cie_1/page_06.png,student_06,1,6,content,train
s06_c2_p04.png,student_06/cie_2/page_04.png,student_06,2,4,content,train
s07_c2_p03.png,student_07/cie_2/page_03.png,student_07,2,3,content,train
s07_c2_p06.png,student_07/cie_2/page_06.png,student_07,2,6,content,train
s08_c1_p01.png,student_08/cie_1/page_01.png,student_08,1,1,cover,val
s08_c1_p11.png,student_08/cie_1/page_11.png,student_08,1,11,content,val
s08_c3_p02.png,student_08/cie_3/page_02.png,student_08,3,2,content,val
s09_c1_p07.png,student_09/cie_1/page_07.png,student_09,1,7,content,train
s09_c3_p04.png,student_09/cie_3/page_04.png,student_09,3,4,content,train
s10_c3_p09.png,student_10/cie_3/page_09.png,student_10,3,9,content,train
s10_c3_p12.png,student_10/cie_3/page_12.png,student_10,3,12,content,train
s11_c2_p01.png,student_11/cie_2/page_01.png,student_11,2,1,cover,train
s11_c2_p02.png,student_11/cie_2/page_02.png,student_11,2,2,content,train
s11_c3_p06.png,student_11/cie_3/page_06.png,student_11,3,6,content,train
s12_c1_p04.png,student_12/cie_1/page_04.png,student_12,1,4,content,train
s12_c2_p05.png,student_12/cie_2/page_05.png,student_12,2,5,content,train
s13_c1_p05.png,student_13/cie_1/page_05.png,student_13,1,5,content,train
s13_c2_p03.png,student_13/cie_2/page_03.png,student_13,2,3,content,train
s13_c3_p01.png,student_13/cie_3/page_01.png,student_13,3,1,cover,train
s14_c2_p06.png,student_14/cie_2/page_06.png,student_14,2,6,content,train
s14_c3_p08.png,student_14/cie_3/page_08.png,student_14,3,8,content,train
s15_c1_p09.png,student_15/cie_1/page_09.png,student_15,1,9,content,train
s15_c2_p01.png,student_15/cie_2/page_01.png,student_15,2,1,cover,train
s15_c3_p04.png,student_15/cie_3/page_04.png,student_15,3,4,content,train
s16_c1_p05.png,student_16/cie_1/page_05.png,student_16,1,5,content,train
s16_c1_p07.png,student_16/cie_1/page_07.png,student_16,1,7,content,train
s17_c2_p08.png,student_17/cie_2/page_08.png,student_17,2,8,content,train
s17_c3_p08.png,student_17/cie_3/page_08.png,student_17,3,8,content,train
s18_c1_p09.png,student_18/cie_1/page_09.png,student_18,1,9,content,train
s18_c3_p06.png,student_18/cie_3/page_06.png,student_18,3,6,content,train
s19_c2_p01.png,student_19/cie_2/page_01.png,student_19,2,1,cover,train
s19_c2_p14.png,student_19/cie_2/page_14.png,student_19,2,14,content,train
s19_c3_p05.png,student_19/cie_3/page_05.png,student_19,3,5,content,train
s20_c1_p03.png,student_20/cie_1/page_03.png,student_20,1,3,content,train
s20_c2_p07.png,student_20/cie_2/page_07.png,student_20,2,7,content,train
s21_c1_p02.png,student_21/cie_1/page_02.png,student_21,1,2,content,train
s21_c1_p08.png,student_21/cie_1/page_08.png,student_21,1,8,content,train
s22_c1_p04.png,student_22/cie_1/page_04.png,student_22,1,4,content,test
s22_c2_p04.png,student_22/cie_2/page_04.png,student_22,2,4,content,test
s23_c1_p01.png,student_23/cie_1/page_01.png,student_23,1,1,cover,train
s23_c2_p02.png,student_23/cie_2/page_02.png,student_23,2,2,content,train
s23_c2_p07.png,student_23/cie_2/page_07.png,student_23,2,7,content,train
s24_c2_p03.png,student_24/cie_2/page_03.png,student_24,2,3,content,test
s24_c2_p04.png,student_24/cie_2/page_04.png,student_24,2,4,content,test
s25_c2_p01.png,student_25/cie_2/page_01.png,student_25,2,1,cover,train
s25_c2_p06.png,student_25/cie_2/page_06.png,student_25,2,6,content,train
s25_c2_p07.png,student_25/cie_2/page_07.png,student_25,2,7,content,train
s26_c1_p08.png,student_26/cie_1/page_08.png,student_26,1,8,content,train
s26_c2_p04.png,student_26/cie_2/page_04.png,student_26,2,4,content,train
s27_c2_p07.png,student_27/cie_2/page_07.png,student_27,2,7,content,train
s27_c3_p08.png,student_27/cie_3/page_08.png,student_27,3,8,content,train
s28_c1_p03.png,student_28/cie_1/page_03.png,student_28,1,3,content,val
s28_c2_p01.png,student_28/cie_2/page_01.png,student_28,2,1,cover,val
s28_c2_p09.png,student_28/cie_2/page_09.png,student_28,2,9,content,val
s29_c2_p12.png,student_29/cie_2/page_12.png,student_29,2,12,content,train
s29_c3_p08.png,student_29/cie_3/page_08.png,student_29,3,8,content,train
s30_c2_p08.png,student_30/cie_2/page_08.png,student_30,2,8,content,train
s30_c3_p05.png,student_30/cie_3/page_05.png,student_30,3,5,content,train
s31_c3_p02.png,student_31/cie_3/page_02.png,student_31,3,2,content,train
s31_c3_p09.png,student_31/cie_3/page_09.png,student_31,3,9,content,train
s32_c2_p05.png,student_32/cie_2/page_05.png,student_32,2,5,content,train
s32_c2_p07.png,student_32/cie_2/page_07.png,student_32,2,7,content,train
s33_c1_p04.png,student_33/cie_1/page_04.png,student_33,1,4,content,test
s33_c2_p10.png,student_33/cie_2/page_10.png,student_33,2,10,content,test
s34_c2_p06.png,student_34/cie_2/page_06.png,student_34,2,6,content,test
s34_c3_p01.png,student_34/cie_3/page_01.png,student_34,3,1,cover,test
s34_c3_p06.png,student_34/cie_3/page_06.png,student_34,3,6,content,test
s35_c3_p02.png,student_35/cie_3/page_02.png,student_35,3,2,content,train
s35_c3_p09.png,student_35/cie_3/page_09.png,student_35,3,9,content,train
s36_c2_p05.png,student_36/cie_2/page_05.png,student_36,2,5,content,train
s36_c3_p03.png,student_36/cie_3/page_03.png,student_36,3,3,content,train
s37_c2_p06.png,student_37/cie_2/page_06.png,student_37,2,6,content,val
s37_c3_p07.png,student_37/cie_3/page_07.png,student_37,3,7,content,val
s38_c2_p05.png,student_38/cie_2/page_05.png,student_38,2,5,content,val
s38_c3_p04.png,student_38/cie_3/page_04.png,student_38,3,4,content,val
s39_c1_p04.png,student_39/cie_1/page_04.png,student_39,1,4,content,test
s39_c3_p06.png,student_39/cie_3/page_06.png,student_39,3,6,content,test
s40_c2_p06.png,student_40/cie_2/page_06.png,student_40,2,6,content,train
s40_c3_p04.png,student_40/cie_3/page_04.png,student_40,3,4,content,train
s41_c1_p02.png,student_41/cie_1/page_02.png,student_41,1,2,content,train
s41_c2_p09.png,student_41/cie_2/page_09.png,student_41,2,9,content,train
s42_c1_p05.png,student_42/cie_1/page_05.png,student_42,1,5,content,val
s42_c2_p01.png,student_42/cie_2/page_01.png,student_42,2,1,cover,val
